topo	MAD_G	Top-1	Param
mobilenet.prototxt	0.57	0.71	4.22
alexnet-g2.prototxt	0.72	0.569	24.27
alexnet-g1.prototxt	1.14	0.569	25.68
googlnet-v1_deploy.prototxt	1.58	0.687	7.00
resnet50.prototxt	4.39	0.75	25.53
inception_v3_woBN.prototxt	5.65	0.73	21.14
vgg_16_new.prototxt	15.47	0.705	34.01
vgg_19.prototxt	20.79	0.685	43.00
